DB00002	Cetuximab
DB00030	Insulin Human
DB00039	Palifermin
DB00046	Insulin Lispro
DB00047	Insulin Glargine
DB00071	Insulin Pork
DB00072	Trastuzumab
DB00102	Becaplermin
DB00117	Histidine
DB00118	Ademetionine
DB00131	Adenosine monophosphate
DB00144	Phosphatidyl serine
DB00163	Vitamin E
DB00171	ATP
DB00201	Caffeine
DB00233	Aminosalicylic Acid
DB00244	Mesalazine
DB00281	Lidocaine
DB00316	Acetaminophen
DB00317	Gefitinib
DB00321	Amitriptyline
DB00325	Nitroprusside
DB00331	Metformin
DB00337	Pimecrolimus
DB00398	Sorafenib
DB00415	Ampicillin
DB00482	Celecoxib
DB00515	Cisplatin
DB00526	Oxaliplatin
DB00530	Erlotinib
DB00605	Sulindac
DB00619	Imatinib
DB00675	Tamoxifen
DB00727	Nitroglycerin
DB00755	Tretinoin
DB00795	Sulfasalazine
DB00877	Sirolimus
DB00883	Isosorbide Dinitrate
DB00914	Phenformin
DB00945	Acetylsalicylic acid
DB00958	Carboplatin
DB00995	Auranofin
DB01041	Thalidomide
DB01064	Isoprenaline
DB01097	Leflunomide
DB01109	Heparin
DB01169	Arsenic trioxide
DB01176	Cyclizine
DB01254	Dasatinib
DB01259	Lapatinib
DB01268	Sunitinib
DB01269	Panitumumab
DB01277	Mecasermin
DB01306	Insulin Aspart
DB01307	Insulin Detemir
DB01309	Insulin Glulisine
DB01356	Lithium
DB01590	Everolimus
DB01612	Amyl Nitrite
DB01613	Erythrityl Tetranitrate
DB01645	Genistein
DB01678	RU84687
DB01738	Phosphorylcolamine
DB01754	3,4-Dihydroxy-1-Methylquinolin-2(1h)-One
DB01761	4-[5-[2-(1-Phenyl-Ethylamino)-Pyrimidin-4-Yl]-1-Methyl-4-(3-Trifluoromethylphenyl)-1h-Imidazol-2-Yl]-Piperidine
DB01765	(5-Oxo-5,6-Dihydro-Indolo[1,2-a]Quinazolin-7-Yl)-Acetic Acid
DB01772	3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione
DB01782	2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One
DB01793	SB-409513
DB01807	N-[(3z)-5-Tert-Butyl-2-Phenyl-1,2-Dihydro-3h-Pyrazol-3-Ylidene]-N'-(4-Chlorophenyl)Urea
DB01809	1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine
DB01812	Adenosine-3'-5'-Diphosphate
DB01830	{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid
DB01863	Inositol 1,3,4,5-Tetrakisphosphate
DB01866	RU79256
DB01888	4-[5-(Trans-4-Aminocyclohexylamino)-3-Isopropylpyrazolo[1,5-a]Pyrimidin-7-Ylamino]-N,N-Dimethylbenzenesulfonamide
DB01893	N6-Benzyl Adenosine-5'-Diphosphate
DB01901	Sucrosofate
DB01908	RU85493
DB01919	Pentanal
DB01933	7-Hydroxystaurosporine
DB01940	Balanol Analog 2
DB01942	Formic Acid
DB01946	3-[1-(3-Aminopropyl)-1h-Indol-3-Yl]-4-(1-Methyl-1h-Indol-3-Yl)-1h-Pyrrole-2,5-Dione
DB01947	RU78262
DB01948	1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperidin-4-Yl-3,4-Dihydroquinolin-2(1h)-One
